"kanji","hiragana","meaning"
"退屈","たいくつ","따분함"
"起床","きしょう","기상 (일어나기)"
"水曜","すいよう","수요(일)"
"一応","いちおう","우선, 일단"
"刑事","けいじ","형사"
"応接","おうせつ","응접"
"足袋","たび","일본식 버선"
"被せる","かぶせる","씌우다, 덮다"
"普及","ふきゅう","보급"
"精神","せいしん","정신"
"実用","じつよう","실용"
"各自","かくじ","각자"
"正面","しょうめん","정면"
"原理","げんり","원리"
"炭鉱","たんこう","탄광"
"速達","そくたつ","속달"
"売り切れる","うりきれる","매진되다"
"拡張","かくちょう","확장"
"流域","りゅういき","유역"
"湧く","わく","솟다, 샘솟다"
"泉","いずみ","샘 (샘물할때)"
"落第","らくだい","낙제"
"在学中","ざいがくちゅう","재학중"
"苦情","くじょう","고충"
"法則","ほうそく","법칙"
"飢える","うえる","굶주리다"
"次いで","ついで","잇따라서"
"話し掛ける","はなしかける","말을 걸다"
"救助","きゅうじょ","구조 (살리는거)"
"外れる","はずれる","빠지다, 누락되다"
"汲む","くむ","푸다, 퍼올리다"
"霧","きり","안개"
"凸凹","でこぼこ","울퉁불퉁"
"在る","ある","있다"
"砕く","くだく","부수다"
"薄める","うすめる","희석시키다"
"残り","のこり","남은것"
"汚す","よごす","더럽히다"
"書店","しょてん","서점"
"朗らか","ほがらか","쾌활, 명랑한 모양"
"体系","たいけい","체계"
"恐れ","おそれ","두려움"
"投票","とうひょう","투표"
"異なる","ことなる","다르다"
"電柱","でんちゅう","전신주 (전봇대)"
"権利","けんり","권리"
"雑巾","ぞうきん","걸레"
"火の用心","ひのようじん","불조심 (직:불용심)"
"撮影","さつえい","촬영"
"同様","どうよう","같음"
"人造","じんぞう","인조"
"周辺","しゅうへん","주변"
"彫る","ほる","새기다"
"交通機関","こうつうきかん","교통기관"
"直角","ちょっかく","직각 (90도)"
"税関","ぜいかん","세관"
"何処","どこ","어디"
"天候","てんこう","날씨"
"両側","りょうがわ","양측, 양편"
"釘","くぎ","못 (망치로 때리는 못)"
"座敷","ざしき","다다미방"
"討論","とうろん","토론"
